City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,daru,-9.0763,143.2092,26.680000000000007,88,70,5.65,PG,1682357221
1,tura,25.5198,90.2201,23.32000000000005,46,6,1.75,IN,1682357223
2,bilibino,68.0546,166.4372,-16.439999999999998,80,3,2.59,RU,1682357223
3,kitimat,54.0524,-128.6534,9.210000000000036,43,100,0.45,CA,1682357223
4,namibe,-15.1961,12.1522,24.53000000000003,71,54,6.51,AO,1682357224
5,saipan,15.1355,145.701,27.390000000000043,100,75,6.69,MP,1682357224
6,bulanash,57.2783,61.9965,7.240000000000009,80,97,1.07,RU,1682357225
7,port-aux-francais,-49.35,70.2167,4.1200000000000045,62,32,8.15,TF,1682357225
8,ushuaia,-54.8,-68.3,6.810000000000002,76,100,1.54,AR,1682357226
9,port elizabeth,-33.918,25.5701,20.610000000000014,90,20,7.72,ZA,1682357226
10,boa vista,2.8197,-60.6733,31.99000000000001,51,75,2.57,BR,1682357109
11,avarua,-21.2078,-159.775,24.03000000000003,78,75,3.09,CK,1682357227
12,ilulissat,69.2167,-51.1,1.0100000000000477,93,75,3.6,GL,1682357227
13,aykhal,66.0,111.5,-12.539999999999964,97,15,1.26,RU,1682357228
14,tiksi,71.6872,128.8694,-4.789999999999964,96,100,4.4,RU,1682357229
15,papatowai,-46.5619,169.4708,12.010000000000048,73,95,9.01,NZ,1682357230
16,trairi,-3.2778,-39.2689,30.670000000000016,58,57,4.64,BR,1682357008
17,tabou,4.423,-7.3528,28.980000000000018,73,100,3.67,CI,1682357231
18,saudarkrokur,65.7461,-19.6394,2.82000000000005,53,77,2.38,IS,1682357231
19,kavaratti,10.5669,72.642,28.57000000000005,70,59,4.63,IN,1682357232
20,stanley,54.868,-1.6985,6.550000000000011,66,40,5.66,GB,1682357233
21,fort mcmurray,56.7268,-111.381,6.770000000000039,56,100,2.57,CA,1682357233
22,mount pearl,47.5166,-52.7813,4.980000000000018,91,100,8.23,CA,1682357234
23,jalai nur,49.45,117.7,-0.12999999999999545,28,100,3.93,CN,1682357234
24,hithadhoo,-0.6,73.0833,29.30000000000001,71,87,2.21,MV,1682357235
25,albany,42.6001,-73.9662,11.129999999999995,57,90,0.45,US,1682357063
26,rio grande,-32.035,-52.0986,29.060000000000002,66,2,4.83,BR,1682357236
27,vieste,41.8825,16.175,15.060000000000002,81,62,0.97,IT,1682357236
28,wailua homesteads,22.0669,-159.378,21.24000000000001,91,0,3.09,US,1682357236
29,puerto natales,-51.7236,-72.4875,8.25,93,75,1.03,CL,1682357237
30,adamstown,-25.066,-130.1015,25.140000000000043,87,99,6.29,PN,1682357237
31,grytviken,-54.2811,-36.5092,2.2100000000000364,81,18,8.08,GS,1682357238
32,qaqortoq,60.7167,-46.0333,2.090000000000032,82,43,1.83,GL,1682357238
33,penzance,50.1186,-5.5371,11.54000000000002,81,20,8.75,GB,1682357239
34,isafjordur,66.0755,-23.124,2.0,57,99,3.34,IS,1682357239
35,kupang,-10.1667,123.5833,25.090000000000032,84,4,3.51,ID,1682357240
36,aasiaat,68.7098,-52.8699,0.22000000000002728,94,100,2.62,GL,1682357240
37,la libertad,-2.2333,-80.9,28.810000000000002,79,20,2.57,EC,1682357241
38,ribeira grande,38.5167,-28.7,19.220000000000027,82,20,6.26,PT,1682357242
39,belmonte,-15.8631,-38.8828,25.150000000000034,86,100,4.85,BR,1682357242
40,blackmans bay,-43.0167,147.3167,10.29000000000002,91,29,2.31,AU,1682357243
41,keelung,25.1283,121.7419,19.760000000000048,89,100,4.51,TW,1682357243
42,tolanaro,-25.0319,46.9987,24.04000000000002,83,40,5.14,MG,1682357243
43,acarau,-2.8856,-40.12,29.82000000000005,65,41,4.52,BR,1682357023
44,guerrero negro,27.9769,-114.0611,18.25,62,76,3.55,MX,1682357244
45,palikir - national government center,6.9248,158.1611,27.560000000000002,77,94,6.87,FM,1682357245
46,ancud,-41.8697,-73.8203,12.980000000000018,80,28,5.84,CL,1682357245
47,san antonio de pale,-1.4014,5.6325,28.27000000000004,71,84,1.63,GQ,1682357246
48,labrador city,52.9463,-66.9114,7.9500000000000455,53,0,2.06,CA,1682357246
49,omerli,37.4022,40.9541,13.240000000000009,48,0,2.27,TR,1682357247
50,fale old settlement,-9.3852,-171.2468,28.200000000000045,75,16,2.98,TK,1682357178
51,sayansk,54.1088,102.1648,1.5100000000000477,57,79,3.32,RU,1682357247
52,mugia,43.1041,-9.2179,17.870000000000005,89,100,6.14,ES,1682357248
53,beloyarskiy,63.7119,66.6722,-4.389999999999986,86,33,3.27,RU,1682357248
54,dudinka,69.4058,86.1778,2.57000000000005,77,90,8.14,RU,1682357249
55,college,64.8569,-147.8028,-10.819999999999993,50,75,8.23,US,1682357249
56,west island,-12.1568,96.8225,26.99000000000001,78,40,9.77,CC,1682357250
57,atafu village,-8.5421,-172.5159,28.310000000000002,75,19,3.74,TK,1682357250
58,yellowknife,62.456,-114.3525,4.2900000000000205,56,75,2.68,CA,1682357250
59,burela de cabo,43.65,-7.4,16.760000000000048,74,100,5.95,ES,1682357251
60,las choapas,17.9333,-94.0833,27.0,75,73,5.92,MX,1682357251
61,puerto ayora,-0.7393,-90.3518,29.980000000000018,86,66,4.47,EC,1682357252
62,anadyr,64.75,177.4833,-6.71999999999997,63,33,7.0,RU,1682357253
63,gaspe,48.8334,-64.4819,3.1200000000000045,87,100,4.12,CA,1682357227
64,udachny,66.4167,112.4,-13.589999999999975,100,41,1.28,RU,1682357254
65,al bawiti,28.3492,28.8659,27.100000000000023,15,38,5.15,EG,1682357255
66,vorgashor,67.5833,63.95,-7.9599999999999795,96,94,4.8,RU,1682357256
67,invercargill,-46.4,168.35,11.680000000000007,82,97,0.89,NZ,1682357256
68,vilyuchinsk,52.9306,158.4028,-0.8499999999999659,83,78,3.57,RU,1682357257
69,christchurch,-43.5333,172.6333,5.82000000000005,90,22,3.6,NZ,1682357109
70,huarmey,-10.0681,-78.1522,27.340000000000032,68,82,6.13,PE,1682357257
71,bredasdorp,-34.5322,20.0403,17.24000000000001,77,5,5.18,ZA,1682357258
72,neryungri,56.6709,124.6491,-9.939999999999998,97,100,1.73,RU,1682357258
73,savanna-la-mar,18.219,-78.1332,29.970000000000027,55,11,2.8,JM,1682357259
74,unai,-16.3575,-46.9061,30.350000000000023,40,18,3.63,BR,1682357259
75,paka,4.6374,103.4368,24.960000000000036,100,32,0.51,MY,1682357260
76,pionerskiy,54.9508,20.2275,12.910000000000025,73,87,4.38,RU,1682357261
77,kingston,17.997,-76.7936,30.129999999999995,68,31,1.34,JM,1682357256
78,woolgoolga,-30.1106,153.2007,18.930000000000007,66,100,5.47,AU,1682357261
79,gadzhiyevo,69.2551,33.3362,-3.609999999999957,75,35,3.84,RU,1682357262
80,thompson,55.7435,-97.8558,2.090000000000032,48,20,1.03,CA,1682357262
81,edinburgh of the seven seas,-37.0676,-12.3116,15.480000000000018,64,72,8.69,SH,1682357263
82,ketchikan,55.3422,-131.6461,7.260000000000048,76,100,3.09,US,1682357264
83,jamestown,42.097,-79.2353,4.2000000000000455,95,100,5.66,US,1682357025
84,waitangi,-43.9535,-176.5597,11.890000000000043,51,92,14.07,NZ,1682357265
85,kuanda,56.3161,116.0806,-8.649999999999977,72,48,0.66,RU,1682357265
86,puerto cabezas,14.0351,-83.3888,29.980000000000018,74,20,2.06,NI,1682356976
87,broken hill,-31.95,141.4333,18.100000000000023,53,0,4.44,AU,1682357266
88,talnakh,69.4865,88.3972,2.340000000000032,78,51,4.33,RU,1682357267
89,yamada,39.4667,141.95,2.910000000000025,62,5,2.94,JP,1682357267
90,kone,-21.0595,164.8658,21.370000000000005,93,82,1.78,NC,1682357268
91,cabo san lucas,22.8909,-109.9124,32.610000000000014,44,0,3.09,MX,1682356969
92,mandalgovi,45.7625,106.2708,-1.2199999999999704,35,2,4.03,MN,1682357268
93,iqaluit,63.7506,-68.5145,0.8500000000000227,93,100,2.57,CA,1682357269
94,bodaybo,57.8506,114.1933,-3.2199999999999704,97,100,1.37,RU,1682357269
95,sola,-13.8833,167.55,27.470000000000027,75,78,5.38,VU,1682357270
96,san patricio,28.017,-97.5169,21.970000000000027,78,100,5.42,US,1682357270
97,brisas de zicatela,15.8369,-97.0419,30.29000000000002,66,20,3.09,MX,1682357270
98,khandyga,62.6667,135.6,-5.42999999999995,97,100,0.95,RU,1682357271
99,armidale,-30.5167,151.65,10.5,89,89,4.45,AU,1682357271
100,nova vicosa,-17.8919,-39.3719,26.810000000000002,64,79,6.38,BR,1682357271
101,villa sandino,12.0483,-84.9936,31.650000000000034,31,30,2.09,NI,1682357272
102,hermanus,-34.4187,19.2345,16.0,84,0,5.97,ZA,1682357272
103,emerald,-23.5333,148.1667,16.860000000000014,82,0,4.66,AU,1682357061
104,hirara,24.8,125.2833,23.150000000000034,83,54,1.54,JP,1682357273
105,bethel,41.3712,-73.414,14.939999999999998,48,75,3.09,US,1682357274
106,olonkinbyen,70.9221,-8.7187,-4.310000000000002,83,99,7.94,SJ,1682357276
107,mournies,35.4764,24.0092,18.220000000000027,72,20,2.06,GR,1682357276
108,odda,60.0691,6.5457,7.650000000000034,98,98,0.96,NO,1682357230
109,road town,18.4167,-64.6167,30.02000000000004,58,40,3.09,VG,1682357277
110,carbondale,37.7273,-89.2168,13.920000000000016,40,0,3.6,US,1682357102
111,mhamid,29.82,-5.72,34.78000000000003,10,10,3.99,MA,1682357278
112,san andres,12.5847,-81.7006,31.010000000000048,58,20,3.09,CO,1682357279
113,susuman,62.7833,148.1667,-14.289999999999964,98,80,2.26,RU,1682357279
114,brookings,44.3114,-96.7984,9.189999999999998,50,0,5.66,US,1682357273
115,damboa,11.156,12.7576,34.58000000000004,32,94,4.41,NG,1682357280
116,micheweni,-4.9667,39.8333,26.83000000000004,83,17,4.39,TZ,1682357280
117,east london,-33.0153,27.9116,21.52000000000004,83,0,4.63,ZA,1682357079
118,sao geraldo do araguaia,-6.4006,-48.555,29.54000000000002,63,100,1.33,BR,1682357281
119,lerwick,60.1545,-1.1494,5.0,62,100,10.65,GB,1682357282
120,okha,53.5739,142.9478,-1.9699999999999704,87,33,5.14,RU,1682357282
121,port saint john's,-31.6229,29.5448,23.960000000000036,66,100,0.17,ZA,1682357283
122,coronel dorrego,-38.7187,-61.2873,23.74000000000001,33,0,4.07,AR,1682357283
123,jaru,-10.4389,-62.4664,28.5,78,83,1.96,BR,1682357284
124,mudanjiang,44.5833,129.6,4.650000000000034,29,100,2.61,CN,1682357284
125,abra pampa,-22.7205,-65.697,16.54000000000002,7,0,2.91,AR,1682357285
126,tsetserleg,47.475,101.4542,-0.6699999999999591,55,100,1.82,MN,1682357285
127,alice springs,-23.7,133.8833,12.75,76,16,3.4,AU,1682357285
128,georgetown,5.4112,100.3354,26.960000000000036,93,20,1.54,MY,1682357162
129,saint-girons,42.9167,1.1667,16.129999999999995,74,100,0.74,FR,1682357287
130,kramfors,62.9316,17.7765,1.8900000000000432,69,100,1.54,SE,1682357287
131,wanganui,-39.9333,175.05,7.0,82,9,0.89,NZ,1682357288
132,fort st. john,56.2499,-120.8529,2.9399999999999977,81,100,3.6,CA,1682357288
133,kolokani,13.5728,-8.0339,39.670000000000016,8,5,2.32,ML,1682357289
134,gulf shores,30.246,-87.7008,21.77000000000004,53,75,5.66,US,1682357289
135,crane,31.3974,-102.3501,14.360000000000014,65,98,6.92,US,1682357289
136,ust-nera,64.5667,143.2,-11.989999999999952,96,87,3.06,RU,1682357290
137,urangan,-25.3,152.9,22.99000000000001,66,26,8.47,AU,1682357290
138,paracuru,-3.41,-39.0306,29.5,62,76,4.91,BR,1682357291
139,shenzhen,22.5455,114.0683,24.010000000000048,96,88,1.13,CN,1682357243
140,arkhangel'sk,64.5401,40.5433,1.0600000000000023,100,40,2.0,RU,1682357292
141,cill airne,52.05,-9.5167,11.03000000000003,50,0,4.63,IE,1682357292
142,sumenep,-7.0167,113.8667,26.189999999999998,84,23,2.93,ID,1682357293
143,yemetsk,63.4721,41.7941,11.550000000000011,77,84,5.79,RU,1682357293
144,nuku'alofa,-21.1333,-175.2,21.189999999999998,94,20,1.03,TO,1682357294
145,tralee,52.2704,-9.7026,11.140000000000043,50,0,4.63,IE,1682357294
146,north bend,43.4065,-124.2243,11.200000000000045,90,40,2.06,US,1682357294
147,sylhet,24.5,91.6667,25.79000000000002,48,18,1.78,BD,1682357295
148,gobabis,-22.45,18.9667,16.310000000000002,75,54,4.81,NA,1682357296
149,pasuquin,18.3328,120.6177,24.970000000000027,77,3,4.2,PH,1682357296
150,chibougamau,49.9168,-74.3659,3.7900000000000205,93,100,5.14,CA,1682357296
151,dauphin,51.1494,-100.0502,3.080000000000041,65,0,4.12,CA,1682357297
